cast id,cast name,latest role
6578009,O'Shea Jackson Jr.,Den of Thieves 2: Pantera ()
0138460,Stokely Carmichael,
3500582,Teyonah Parris,WandaVision
0249291,Joel Edgerton,Bright 2 ()
8154630,Omar Barbour,
3133334,Brandon P Bell,Oneironaut
3560395,Michelle Alexander,
0000148,Harrison Ford,Untitled Indiana Jones Project
1323822,Adepero Oduye,The Falcon and the Winter Soldier
0929615,Jess Willard,Love & Basketball
0246686,Melonie Diaz,Charmed (2018-2020)
0049924,James Baldwin,
1221047,Keegan-Michael Key,Wendell and Wild
0000657,David Strathairn,Nightmare Alley ()
3659660,Corey Hawkins,Macbeth
0252238,Carmen Ejogo,Self Made: Inspired by the Life of Madam C.J. Walker
0991810,Mahershala Ali,Blade ()
0262506,Candace Evanofski,Eastbound & Down
2651139,Pernell Walker,The Deuce (2017-2019)
0913475,John David Washington,Born to Be Murdered
0026364,Anthony Anderson,Black-ish (2014-2020)
0611241,Ali Shaheed Muhammad,
3964350,Amandla Stenberg,The Eddy
0001454,Martin Lawrence,Bad Boys 4 ()
1935086,Tessa Thompson,Thor: Love and Thunder
0000671,Billy Bob Thornton,Goliath (2016-2020)
1345514,Tre Armstrong,Full Out
4924757,Mya Taylor,Stage Mother
1265802,Josh Gad,Moonfall ()
0913488,Kerry Washington,24-7 ()
0044762,Obba Babatundé,Walk by Faith ()
8154628,Blair Anderson,
0430107,Michael B. Jordan,Creed III ()
8708944,Mike Albanese,
0868110,John Tormey,She's Funny That Way
4726634,Haley Lu Richardson,Unpregnant ()
2143282,Lupita Nyong'o,Americanah
0654110,Clive Owen,Lisey's Story ()
0000128,Russell Crowe,American Son ()
0741242,Anika Noni Rose,The Outlaw Johnny Black ()
0390184,Donald Holden,George Washington
0848147,André Leon Talley,#Fashionvictim
4150847,Stephan James,Rob Peace
6251353,Mason Alban,Little Women
4918873,Kutiman,
0001084,Ice Cube,
2993749,Michael Brown Sr.,Unborn Sins
3496466,Yance Ford,
0134244,Nick Cannon,
0205626,Viola Davis,Untitled Harriet Tubman Project ()
6328300,Winston Duke,Heroine ()
0818055,Octavia Spencer,The Heart ()
0052103,Boyd Banks,V-Wars
0147825,Cedric the Entertainer,She Ball ()
0002537,Miles Davis,
1498712,Terri Lyne Carrington,Klymaxx: 4 the Ole Dawg N U
2286839,Larry Berry,Take Action
1176973,Jack Ashford,
1579753,Whitney Cummings,
0000243,Denzel Washington,Macbeth
4377526,Daveed Diggs,The Little Mermaid ()
0910607,Christoph Waltz,Gilded Rage ()
0344435,Ioan Gruffudd,Ava
6228924,Candy,
0000168,Samuel L. Jackson,What If...?
0004721,Erykah Badu,
2503064,Logan Browning,Dear White People (2017-2019)
0800510,Nina Simone,
4832920,Quvenzhané Wallis,Swagger
6195774,Dominique Fishback,Untitled Henry & Rel Sci-Fi Project
4554036,Parker Sawyers,Squadron 42 ()
0362426,Bethann Hardison,
0032399,Phyllis Applegate,Hollywood Square ()
0682495,Wendell Pierce,Silent Voice ()
7594279,Lovie Simone,The Craft ()
0378245,Taraji P. Henson,Minions: The Rise of Gru
0195626,Chris D'Elia,Army of the Dead ()
4833412,Dwight Henry,Sexual Healing ()
3853652,Jodie Turner-Smith,After Yang
0004937,Jamie Foxx,Spawn ()
1569276,Chadwick Boseman,Black Panther II
0001674,Chris Rock,
1551130,Keke Palmer,Alice ()
3899260,Tanya Crumel,
1085037,John Bul Dau,
5473880,ASAP Rocky,
0000717,Kareem Abdul-Jabbar,iZombie
0000552,Eddie Murphy,Beverly Hills Cop 4 ()
2159926,Jake Johnson,Hoops ()
0164809,Jason Clarke,Untitled Lakers Project
2257207,Daniel Kaluuya,A Christmas Carol ()
11324875,Charlie Pye Jr.,Just Mercy
3357331,Antron McCray,
0001451,Queen Latifah,
8473220,Helena Howard,Don't Look Deeper ()
7851611,Jharrel Jerome,Concrete Cowboys ()
0206257,Rosario Dawson,DMZ
8061858,María Pedraza,El verano que vivimos
9467675,Harvey Walker,
