movie id,movie names,plot,IMDb Rating,main cast member id,main cast member name,other cast member id,other cast member name
0199725,Love and Basketball,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.::Jonathan Hayward,7.2,0154071,Glenndon Chatman,0929615,Jess Willard
0303714,Barbershop,A day in the life of a South Side Chicago barbershop.::Anonymous,6.3,0001084,Ice Cube,0026364,Anthony Anderson
0436724,Rize,Rize chronicles a dance movement that rises out of South Central Los Angeles with roots in clowning and street youth culture.::Anonymous,7.1,2286839,Larry Berry,1815469,Tommy the Clown
3125324,Beyond the Lights,"The pressures of fame have superstar singer Noni on the edge, until she meets Kaz, a young cop who works to help her find the courage to develop her own voice and break free to become the artist she was meant to be.::Anonymous",6.9,1813221,Gugu Mbatha-Raw,1676649,Nate Parker
0410097,Hustle & Flow,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.::Anonymous",7.3,0005024,Terrence Howard,0026364,Anthony Anderson
0453562,42,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.::sib",7.5,1569276,Chadwick Boseman,0000148,Harrison Ford
4594834,Chi-Raq,"A modern day adaptation of the ancient Greek play Lysistrata by Aristophanes, set against the backdrop of gang violence in Chicago, Illinois.",5.7,0134244,Nick Cannon,3500582,Teyonah Parris
0765429,American Gangster,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",7.8,0000243,Denzel Washington,0000128,Russell Crowe
7218804,The Gospel According to André,"From the segregated American South to the fashion capitals of the world, operatic fashion editor André Leon Talley's life and career are on full display, in a poignant portrait that includes appearances by Anna Wintour, Marc Jacobs, Tom Ford, Bethann Hardison, Valentino, and Manolo Blahnik.",6.3,0848147,André Leon Talley,0362426,Bethann Hardison
7689906,Monsters and Men,"The aftermath of a police killing of a black man, told through the eyes of the bystander who filmed the act, an African-American police officer and a high-school baseball phenom inspired to take a stand.::Anonymous",5.8,0913475,John David Washington,6853061,Anthony Ramos
0285742,Monster's Ball,"After a family tragedy, a racist prison guard re-examines his attitudes while falling in love with the African-American wife of the last prisoner he executed.::Kenneth Chisholm",7.0,0000671,Billy Bob Thornton,0801231,Taylor Simpson
1211890,Middle of Nowhere,"When her husband is sentenced to eight years in prison, Ruby drops out of medical school in order to focus on her husband's well-being while he's incarcerated - leading her on a journey of self-discovery in the process.::IMDb Editors",6.4,1538675,Emayatzy Corinealdi,1165044,Omari Hardwick
1502397,Bad Boys for Life,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.::Sony Pictures,6.7,0000226,Will Smith,0001454,Martin Lawrence
0437800,Akeelah and the Bee,A young girl from South Los Angeles tries to make it to the National Spelling Bee.::Anonymous,7.3,1551130,Keke Palmer,0000401,Laurence Fishburne
0478166,The Heart of the Game,"A documentary Roosevelt Roughriders, a girls' high-school basketball team in Seattle, and one player's fight to regain her eligibility to play.::Anonymous",7.5,0524839,Ludacris,2022922,Darnellia Russell
4284010,"What Happened, Miss Simone?","A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""::buraczyn",7.6,0800510,Nina Simone,0835159,Lisa Simone Kelly
8722346,Queen & Slim,A couple's first date takes an unexpected turn when a police officer pulls them over.,7.0,2257207,Daniel Kaluuya,3853652,Jodie Turner-Smith
1613023,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",Michael Rapaport documents the inner workings and behind the scenes drama that follows this innovative and influential band to this day.::Anonymous,7.7,0205954,Phife Dawg,0611241,Ali Shaheed Muhammad
0780521,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.::Anonymous",7.1,0741242,Anika Noni Rose,0004797,Bruno Campos
4161074,Presenting Princess Shaw,A documentary on the collaborative relationship between New Orleans based songwriter/YouTube star Samantha Montgomery and composer/video artist Ophir Kutiel.::Anonymous,6.7,4918873,Kutiman,7973095,Samantha Montgomery
0234407,Our Song,"Focusing on the bonding between three girls in Brooklyn's ""Jackie Robinson Steppers Marching Band"" and the choices the girls face once their high school closes down for asbestos removal.::Len Massaar",6.8,0553634,Melissa Martinez,0800899,Anna Simpson
7358154,Burning Cane,"Amongst the cane fields of rural Louisiana, an aging mother struggles between her religious convictions and the love of her son.::Phillip",5.5,0682495,Wendell Pierce,1293441,Karen Kaia Livers
4935480,Miss Sharon Jones!,"Miss Sharon Jones: Dreams never expire but sometimes they are deferred. Miss Sharon Jones follows the talented and gregarious soul singer of the Grammy nominated R&B band ""Sharon Jones and the Dap Kings."" In the most challenging year of her life, Sharon Jones confronts pancreatic cancer. As she struggles to find her health and voice again, the film intimately uncovers the mind and spirit of a powerful woman determined to regain the explosive singing career that eluded her for 50 years.",7.2,1392716,Sharon Jones,6171392,Starr Duncan-Lowe
6101602,Madeline's Madeline,A theatre director's latest project takes on a life of its own when her young star takes her performance too seriously.::Anonymous,6.4,8473220,Helena Howard,0432380,Miranda July
0301555,God Grew Tired of Us,Four boys from Sudan embark on a journey to America after years of wandering Sub-Saharan Africa in search of safety.::Anonymous,7.9,2502084,Panther Bior,1085037,John Bul Dau
8652728,Waves,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",7.6,5347988,Taylor Russell,5123156,Kelvin Harrison Jr.
1592527,The Black Power Mixtape 1967-1975,Footage shot by a group of Swedish journalists documenting the Black Power Movement in the United States is edited together by a contemporary Swedish filmmaker.::Anonymous,7.6,1918923,Abiodun Oyewole,0138460,Stokely Carmichael
3628584,Barbershop: The Next Cut,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.::Anonymous",5.9,0001084,Ice Cube,0147825,Cedric the Entertainer
0454848,Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.::Anonymous",7.6,0000243,Denzel Washington,0654110,Clive Owen
2784678,Top Five,A comedian tries to make it as a serious actor when his reality television star fiancée talks him into broadcasting their wedding on her television show.,6.4,0001674,Chris Rock,0206257,Rosario Dawson
0314725,Standing in the Shadows of Motown,"Documentary about the Funk Brothers, a group of Detroit musicians who backed up dozens of Motown artists.::Anonymous",7.8,1174936,Richard 'Pistol' Allen,1176973,Jack Ashford
8759834,Selah and the Spades,"Five factions run the underground life of Haldwell School, a prestigious east coast boarding school. At the head of the most powerful faction - The Spades - sits Selah Summers, walking the fine line between being feared and loved.",4.6,7594279,Lovie Simone,7851611,Jharrel Jerome
4316236,The Black Panthers: Vanguard of the Revolution,"This documentary tells the rise and fall of the Black Panther Party, one of the 20th century's most alluring and controversial organizations that captivated the world's attention for nearly 50 years.::Mari del Fierro",7.3,8154628,Blair Anderson,8154630,Omar Barbour
0367790,Baadasssss!,Mario Van Peebles' half-documentary/half-homage to his father Melvin Van Peebles' movie Sweet Sweetback's Baadasssss Song (1971).,7.3,0005522,Mario Van Peebles,0117146,Joy Bryant
2380247,The Central Park Five,"A documentary that examines the 1989 case of five black and Latino teenagers who were convicted of raping a white woman in Central Park. After having spent between 6 and 13 years each in prison, a serial rapist confessed to the crime.::Anonymous",7.7,3357331,Antron McCray,3398380,Kevin Richardson
2125435,Beasts of the Southern Wild,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.::Brian McInnis",7.3,4832920,Quvenzhané Wallis,4833412,Dwight Henry
1850458,Whitney,"A girl, a guy, and their friends are twenty-somethings living in Chicago.",5.7,1579753,Whitney Cummings,0195626,Chris D'Elia
3850214,Dope,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.::Anonymous",7.2,5473880,ASAP Rocky,2981935,Blake Anderson
9358200,Miles Davis: Birth of the Cool,"Musicians, scholars, family and friends reflect on the life of jazzer Miles Davis to reveal the man behind the legend. Full access to Davis' estate provides rare footage and photos, outtakes from recording sessions and new interviews.",7.4,0525855,Carl Lumbly,0002537,Miles Davis
5390504,Detroit,Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.::Carl Schultz,7.3,1663252,Chris Chalk,6251353,Mason Alban
12307732,The Iceman - the majestic force of nature 2020,,,,,,
5577494,Clemency,"As she prepares to execute another inmate, Bernadine must confront the psychological and emotional demons her job creates, ultimately connecting her to the man she is sanctioned to kill.",6.4,0005569,Alfre Woodard,0771493,Richard Schiff
5707802,Dear White People,"At a predominantly white Ivy League college, a group of black students navigate various forms of racial and other types of discrimination.::IboChild",6.2,2503064,Logan Browning,3133334,Brandon P Bell
0425598,Dave Chappelle's Block Party,"A mix of Dave Chappelle's sketch comedy and musical interludes, inspired in part by the 1973 documentary Wattstax.::Anonymous",7.2,0152638,Dave Chappelle,0004721,Erykah Badu
4916630,Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,7.6,0004937,Jamie Foxx,11324875,Charlie Pye Jr.
6343314,Creed II,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.::Shajee Zuhair",7.1,0430107,Michael B. Jordan,0000230,Sylvester Stallone
1213585,Good Hair,Chris Rock explores the wonders of African-American hairstyles.::Anonymous,6.9,3899260,Tanya Crumel,3883997,Kevin Kirk
1398426,Straight Outta Compton,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.::Anonymous",7.9,6578009,O'Shea Jackson Jr.,3659660,Corey Hawkins
6859352,Support the Girls,"The general manager at a highway-side ''sports bar with curves"" has her incurable optimism and faith, in her girls, her customers, and herself, tested over the course of a long, strange day.::Magnolia Pictures",6.4,0356021,Regina Hall,4726634,Haley Lu Richardson
4695012,It Comes At Night,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.::A24",6.2,0249291,Joel Edgerton,3571592,Christopher Abbott
7616148,Luce,"A married couple is forced to reckon with their idealized image of their son, adopted from war-torn Eritrea, after an alarming discovery by a devoted high school teacher threatens his status as an all-star student.::Production",6.7,0915208,Naomi Watts,0818055,Octavia Spencer
1853728,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.::Anonymous and Brian McInnis",8.4,0004937,Jamie Foxx,0910607,Christoph Waltz
3564472,Girls Trip,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.::Universal Pictures",6.2,0356021,Regina Hall,0001451,Queen Latifah
4258698,Southside with You,"The film chronicles the summer 1989 afternoon when the future President of the United States, Barack Obama, wooed his future First Lady, Michelle Obama, on a first date across Chicago's South Side.::deadline",6.3,1754366,Tika Sumpter,4554036,Parker Sawyers
1233334,Pariah,"A Brooklyn teenager juggles conflicting identities and risks friendship, heartbreak, and family in a desperate search for sexual expression.::Dee Rees",7.2,1323822,Adepero Oduye,2651139,Pernell Walker
10032120,"Precious: Based on What We Heard About the Novel ""Push"" by Sapphire",,,,,,
2674040,Keep on Keepin' On,"A documentary that follows jazz legend Clark Terry over four years to document the mentorship between Terry and 23-year-old blind piano prodigy Justin Kauflin as the young man prepares to compete in an elite, international competition.::Anonymous",7.8,6228924,Candy,1498712,Terri Lyne Carrington
6634646,"Hale County This Morning, This Evening","A kaleidoscopic and humanistic view of the Black community in Hale County, Alabama.::pyukumuku",6.3,9570667,Latrenda 'Boosie' Ash,9570666,Quincy Bryant
0770810,Step,"Following her sister's death from drug addiction, a high school student is forced to leave her private school to return to her old, crime-filled neighborhood where she re-kindles an unlikely passion for the competitive world of step dancing.::Anonymous",3.5,1345514,Tre Armstrong,0052103,Boyd Banks
5895028,13th,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.::Anonymous,8.2,7738489,Melina Abdullah,3560395,Michelle Alexander
5479616,Loving,"Laura and Carlos love each other as if every day was the last, and perhaps that first love intensity is what will tear them apart a year later.",5.3,8061858,María Pedraza,2968673,Pol Monen
9358206,Toni Morrison: The Pieces I Am,"This artful and intimate meditation on the legendary storyteller examines her life, her works and the powerful themes she has confronted throughout her literary career.::Timothy Greenfield-Sanders",7.2,0607339,Toni Morrison,0022487,Hilton Als
7242142,Blindspotting,"While on probation, a man begins to re-evaluate his relationship with his volatile best friend.",7.4,4377526,Daveed Diggs,2592137,Rafael Casal
6176928,Whose Streets?,An unflinching look at how the police killing of 18-year-old Mike Brown inspired a community to fight back and sparked a global movement.::Sabaah Jordan,5.1,6697660,Lezley McSpadden,2993749,Michael Brown Sr.
5873150,Strong Island,"When filmmaker Yance Ford investigates the 1992 murder of a young black man, it becomes an achingly personal journey since the victim, 24-year-old William Ford Jr., was the filmmaker's brother.::Jwelch5742",6.4,3496466,Yance Ford,9467675,Harvey Walker
7184124,Night Comes On,"Angel LaMere is released from juvenile detention on the eve of her 18th birthday. Haunted by her past, she embarks on a journey with her 10 year-old sister that could destroy their future.::Superlative Films",6.5,6195774,Dominique Fishback,11290590,Jill Rene
5275892,O.J.: Made in America,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.::David Rush",8.9,0000717,Kareem Abdul-Jabbar,8708944,Mike Albanese
3824458,Tangerine,A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.::Anonymous,7.1,6702770,Kitana Kiki Rodriguez,4924757,Mya Taylor
4353250,The Last Black Man in San Francisco,A young man searches for home in the changing city that seems to have left him behind.,7.3,8629338,Jimmie Fails,3718007,Jonathan Majors
2334649,Fruitvale Station,"The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.::Anonymous",7.5,0430107,Michael B. Jordan,0246686,Melonie Diaz
2671706,Fences,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.::Anonymous",7.2,0000243,Denzel Washington,0205626,Viola Davis
2396566,20 Feet from Stardom,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.::Sundance",7.4,0004693,Lou Adler,3646228,Stephanie 'Stevvi' Alexander
2396589,Mudbound,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.::Anonymous",7.4,1659547,Carey Mulligan,0164809,Jason Clarke
0454776,Amazing Grace,"The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.::IMDb Editors",7.4,0344435,Ioan Gruffudd,0304801,Romola Garai
5688932,Sorry to Bother You,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.::Annapurna Pictures",6.9,3147751,LaKeith Stanfield,1935086,Tessa Thompson
5580266,The Hate U Give,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.::Twentieth Century Fox",7.4,3964350,Amandla Stenberg,0356021,Regina Hall
4846340,HIDDEN FIGURES,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.::Kenneth Chisholm,7.8,0378245,Taraji P. Henson,0818055,Octavia Spencer
8526872,Dolemite Is My Name,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.::Netflix",7.3,0000552,Eddie Murphy,1221047,Keegan-Michael Key
3076658,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.::Anonymous",7.6,0430107,Michael B. Jordan,0000230,Sylvester Stallone
5804038,I Am Not Your Negro,"Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House.::Anonymous",7.8,0000168,Samuel L. Jackson,0049924,James Baldwin
4218572,Widows,"Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.::Twentieth Century Fox",6.9,0205626,Viola Davis,0000553,Liam Neeson
2024544,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.::Fox Searchlight",8.1,0252230,Chiwetel Ejiofor,4833412,Dwight Henry
7125860,If Beale Street Could Talk,A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.::Noah Orent,7.1,8460487,KiKi Layne,4150847,Stephan James
1020072,Selma,"A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",7.5,0654648,David Oyelowo,0252238,Carmen Ejogo
4975722,Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.::Noah Orent",7.4,0991810,Mahershala Ali,8401402,Shariff Earp
4633694,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.::Chockys",8.4,4271336,Shameik Moore,2159926,Jake Johnson
5052448,Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.::David Rush",7.7,2257207,Daniel Kaluuya,4129745,Allison Williams
7349662,BlacKkKlansman,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.::Anonymous",7.5,0000285,Alec Baldwin,0913475,John David Washington
6857112,Us,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,6.9,2143282,Lupita Nyong'o,6328300,Winston Duke
1825683,Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.::Kenneth Chisholm",7.3,1569276,Chadwick Boseman,0430107,Michael B. Jordan
